Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,loukasg6r,Toyota GR Yaris Rally1 HYBRID (2023),00:04:30.3360000,00:00:00,00:00:00,PSN,
2,RG-Karafoulidis,Toyota GR Yaris Rally1 HYBRID (2023),00:04:33.4080000,00:00:00,00:00:03.0720000,STEAM,
3,Skoukerman,Ford Puma Rally1 HYBRID (2023),00:04:33.7270000,00:00:00,00:00:03.3910000,STEAM,
4,TNG-Loucas-Sti,Toyota GR Yaris Rally1 HYBRID (2023),00:04:37.9690000,00:00:00,00:00:07.6330000,PSN,
5,nikos_dri,Toyota GR Yaris Rally1 HYBRID (2023),00:04:38.8380000,00:00:00,00:00:08.5020000,PSN,
6,TeoVoudouris,Ford Puma Rally1 HYBRID (2023),00:04:39.0700000,00:00:00,00:00:08.7340000,STEAM,
7,sgoran,Hyundai i20 N Rally1 HYBRID (2023),00:04:39.2960000,00:00:00,00:00:08.9600000,STEAM,
8,ArisM_28,Hyundai i20 N Rally1 HYBRID (2023),00:04:39.8300000,00:00:00,00:00:09.4940000,STEAM,
9,BILL96GR,Toyota GR Yaris Rally1 HYBRID (2023),00:04:40.1090000,00:00:00,00:00:09.7730000,STEAM,
10,RallyZap92,Ford Puma Rally1 HYBRID (2023),00:04:42.4260000,00:00:00,00:00:12.0900000,EA,
11,Chris_Karaolis,Toyota GR Yaris Rally1 HYBRID (2023),00:04:46.2780000,00:00:00,00:00:15.9420000,STEAM,
12,gronholmmk2,Toyota GR Yaris Rally1 HYBRID (2023),00:04:46.3690000,00:00:00,00:00:16.0330000,STEAM,
13,sidisp,Ford Puma Rally1 HYBRID (2023),00:04:46.8490000,00:00:05,00:00:16.5130000,STEAM,
14,troffeo,Toyota GR Yaris Rally1 HYBRID (2023),00:04:48.0990000,00:00:00,00:00:17.7630000,STEAM,
15,BaLouLdieZ,Ford Puma Rally1 HYBRID (2023),00:04:48.7190000,00:00:00,00:00:18.3830000,PSN,
16,DimitrisStk,Ford Puma Rally1 HYBRID (2023),00:04:50.3020000,00:00:00,00:00:19.9660000,XBOX,
17,Undertakerf,Toyota GR Yaris Rally1 HYBRID (2023),00:04:51.3200000,00:00:05,00:00:20.9840000,STEAM,
