Rank,DisplayName,Vehicle,Time,DifferenceToFirst,Platform,
1,Skoukerman,Ford Puma Rally1 HYBRID (2023),00:59:25.8670000,00:00:00,STEAM,
2,RG-Karafoulidis,Toyota GR Yaris Rally1 HYBRID (2023),00:59:38.2530000,00:00:12.3860000,STEAM,
3,TeoVoudouris,Ford Puma Rally1 HYBRID (2023),01:00:31.3380000,00:01:05.4710000,STEAM,
4,RG-Neilaras,Toyota GR Yaris Rally1 HYBRID (2023),01:00:34.8090000,00:01:08.9420000,STEAM,
5,RallyZap92,Ford Puma Rally1 HYBRID (2023),01:01:05.0100000,00:01:39.1430000,EA,
6,nikos_dri,Toyota GR Yaris Rally1 HYBRID (2023),01:01:38.0490000,00:02:12.1820000,PSN,
7,ArisM_28,Hyundai i20 N Rally1 HYBRID (2023),01:02:06.1020000,00:02:40.2350000,STEAM,
8,Chris_Karaolis,Toyota GR Yaris Rally1 HYBRID (2023),01:02:10.9010000,00:02:45.0340000,STEAM,
9,gronholmmk2,Toyota GR Yaris Rally1 HYBRID (2023),01:02:34.4680000,00:03:08.6010000,STEAM,
10,loukasg6r,Toyota GR Yaris Rally1 HYBRID (2023),01:03:08.3230000,00:03:42.4560000,PSN,
11,troffeo,Toyota GR Yaris Rally1 HYBRID (2023),01:03:12.1750000,00:03:46.3080000,STEAM,
12,Kotzampasis_G,Toyota GR Yaris Rally1 HYBRID (2023),01:03:16.3330000,00:03:50.4660000,STEAM,
13,AntonisCh93,Toyota GR Yaris Rally1 HYBRID (2023),01:03:18.7810000,00:03:52.9140000,XBOX,
14,spyrosb16a2,Hyundai i20 N Rally1 HYBRID (2023),01:03:27.0330000,00:04:01.1660000,PSN,
15,GeorgeNempis,Hyundai i20 N Rally1 HYBRID (2023),01:03:37.1730000,00:04:11.3060000,STEAM,
16,mmarakas,Ford Puma Rally1 HYBRID (2023),01:03:38.3370000,00:04:12.4700000,STEAM,
17,TNG-Loucas-Sti,Toyota GR Yaris Rally1 HYBRID (2023),01:04:08.4720000,00:04:42.6050000,PSN,
18,Mixelakis_97_WRC,Hyundai i20 N Rally1 HYBRID (2023),01:04:09.8990000,00:04:44.0320000,XBOX,
19,thanzio,Ford Puma Rally1 HYBRID (2023),01:04:30.1420000,00:05:04.2750000,STEAM,
20,sgoran,Hyundai i20 N Rally1 HYBRID (2023),01:04:34.0930000,00:05:08.2260000,STEAM,
21,PAPIAS44,Hyundai i20 N Rally1 HYBRID (2023),01:04:44.0560000,00:05:18.1890000,EA,
22,BILL96GR,Toyota GR Yaris Rally1 HYBRID (2023),01:04:44.8770000,00:05:19.0100000,STEAM,
23,ArisPrince77,Ford Puma Rally1 HYBRID (2023),01:04:51.9260000,00:05:26.0590000,PSN,
24,CntG3tEnough,Hyundai i20 N Rally1 HYBRID (2023),01:04:55.0860000,00:05:29.2190000,STEAM,
25,AndreasEvoIX,Hyundai i20 N Rally1 HYBRID (2023),01:05:21.6510000,00:05:55.7840000,STEAM,
26,EZioziasJR,Ford Puma Rally1 HYBRID (2023),01:05:23.8450000,00:05:57.9780000,EA,
27,hardstriker13,Ford Puma Rally1 HYBRID (2023),01:05:36.2050000,00:06:10.3380000,XBOX,
28,BaLouLdieZ,Ford Puma Rally1 HYBRID (2023),01:05:54.6500000,00:06:28.7830000,PSN,
29,pngtsmgr,Hyundai i20 N Rally1 HYBRID (2023),01:05:58.8220000,00:06:32.9550000,XBOX,
30,Undertakerf,Toyota GR Yaris Rally1 HYBRID (2023),01:06:15.0670000,00:06:49.2000000,STEAM,
31,cubanosgr,Ford Puma Rally1 HYBRID (2023),01:07:00.2510000,00:07:34.3840000,EA,
32,sidisp,Ford Puma Rally1 HYBRID (2023),01:07:01.2470000,00:07:35.3800000,STEAM,
33,bebinio12,Toyota GR Yaris Rally1 HYBRID (2023),01:07:02.5640000,00:07:36.6970000,STEAM,
34,billymos,Ford Puma Rally1 HYBRID (2023),01:07:06.8750000,00:07:41.0080000,STEAM,
