Rank,Όνομα RaceNet,Όνομα Ομάδος,Αυτοκίνητο,Race,PS,Race,PS,Race,PS,Race,PS,Race,PS,Race,PS,Race,PS,Race,PS,Race,PS,Race,PS,Συνολική βαθμολογία
1,Skoukerman,Project Puncture,Ford Puma Rally1 (2023),30,3,30,5,,,,,,,,,,,,,,,,,68
2,RG-Karafoulidis,Racing Guys Rally Team,Toyota GR Yaris Rally1 (2023),24,4,24,4,,,,,,,,,,,,,,,,,56
3,TeoVoudouris,HellaSim Rally Team 2,Ford Puma Rally1 (2023),21,,21,3,,,,,,,,,,,,,,,,,45
4,RG-Neilaras,Racing Guys Rally Team,Toyota GR Yaris Rally1 (2023),19,,19,1,,,,,,,,,,,,,,,,,39
5,nikos_dri,Racing Guys Rally Team,Toyota GR Yaris Rally1 (2023),15,1,17,,,,,,,,,,,,,,,,,,33
6,loukasg6r,CK Sports Corner Rally Team 1,Toyota GR Yaris Rally1 (2023),7,5,13,2,,,,,,,,,,,,,,,,,27
7,RallyZap92,MS WRT,Ford Puma Rally1 (2023),17,,,,,,,,,,,,,,,,,,,,17
8,iliassiopis,HellaSim Rally Team,Ford Puma Rally1 (2023),,,15,,,,,,,,,,,,,,,,,,15
9,gronholmmk2,PSR WRT,Toyota GR Yaris Rally1 (2023),9,,5,,,,,,,,,,,,,,,,,,14
10,ArisM_28,MX Racing,Hyundai i20 N Rally1 (2023),13,,,,,,,,,,,,,,,,,,,,13
11,Chris_Karaolis,CK Sports Corner Rally Team 1,Toyota GR Yaris Rally1 (2023),11,,,,,,,,,,,,,,,,,,,,11
12,Mixelakis_97_WRC,AMP Motorsport,Hyundai i20 N Rally1 (2023),,,11,,,,,,,,,,,,,,,,,,11
13,cubanosgr,HellaSim Rally Team,Ford Puma Rally1 (2023),,,9,,,,,,,,,,,,,,,,,,9
14,sgoran,Megara Racing Team,Hyundai i20 N Rally1 (2023),,,7,,,,,,,,,,,,,,,,,,7
15,Kotzampasis_G,GRL Rally Team,Toyota GR Yaris Rally1 (2023),4,,3,,,,,,,,,,,,,,,,,,7
16,troffeo,PSR WRT,Toyota GR Yaris Rally1 (2023),5,,,,,,,,,,,,,,,,,,,,5
17,Vasi_nano_racing,PSR WRT,Toyota GR Yaris Rally1 (2023),,,4,,,,,,,,,,,,,,,,,,4
18,AntonisCh93,CK Sports Corner Rally Team 2,Toyota GR Yaris Rally1 (2023),3,,,,,,,,,,,,,,,,,,,,3
19,spyrosb16a2,TGS Rally Team ,Hyundai i20 N Rally1 (2023),2,,,,,,,,,,,,,,,,,,,,2
